    PID TTY          TIME CMD
      1 ?        00:00:02 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_gp
      5 ?        00:00:00 kworker/R-sync_wq
      6 ?        00:00:00 kworker/R-kvfree_rcu_reclaim
      7 ?        00:00:00 kworker/R-slub_flushwq
      8 ?        00:00:00 kworker/R-netns
     10 ?        00:00:00 kworker/0:0H-events_highpri
     13 ?        00:00:00 kworker/R-mm_percpu_wq
     14 ?        00:00:00 ksoftirqd/0
     15 ?        00:00:10 rcu_preempt
     16 ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
     17 ?        00:00:00 rcu_exp_gp_kthread_worker
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/2
     22 ?        00:00:00 idle_inject/2
     23 ?        00:00:00 migration/2
     24 ?        00:00:00 ksoftirqd/2
     26 ?        00:00:00 kworker/2:0H-events_highpri
     27 ?        00:00:00 cpuhp/4
     28 ?        00:00:00 idle_inject/4
     29 ?        00:00:00 migration/4
     30 ?        00:00:00 ksoftirqd/4
     32 ?        00:00:00 kworker/4:0H-events_highpri
     33 ?        00:00:00 cpuhp/6
     34 ?        00:00:00 idle_inject/6
     35 ?        00:00:00 migration/6
     36 ?        00:00:00 ksoftirqd/6
     38 ?        00:00:00 kworker/6:0H-events_highpri
     39 ?        00:00:00 cpuhp/8
     40 ?        00:00:00 idle_inject/8
     41 ?        00:00:00 migration/8
     42 ?        00:00:00 ksoftirqd/8
     44 ?        00:00:00 kworker/8:0H-events_highpri
     45 ?        00:00:00 cpuhp/10
     46 ?        00:00:00 idle_inject/10
     47 ?        00:00:00 migration/10
     48 ?        00:00:00 ksoftirqd/10
     50 ?        00:00:00 kworker/10:0H-events_highpri
     51 ?        00:00:00 cpuhp/12
     52 ?        00:00:00 idle_inject/12
     53 ?        00:00:02 migration/12
     54 ?        00:00:00 ksoftirqd/12
     56 ?        00:00:00 kworker/12:0H-kblockd
     57 ?        00:00:00 cpuhp/13
     58 ?        00:00:00 idle_inject/13
     59 ?        00:00:01 migration/13
     60 ?        00:00:00 ksoftirqd/13
     62 ?        00:00:00 kworker/13:0H-events_highpri
     63 ?        00:00:00 cpuhp/14
     64 ?        00:00:00 idle_inject/14
     65 ?        00:00:01 migration/14
     66 ?        00:00:00 ksoftirqd/14
     68 ?        00:00:00 kworker/14:0H-events_highpri
     69 ?        00:00:00 cpuhp/15
     70 ?        00:00:00 idle_inject/15
     71 ?        00:00:00 migration/15
     72 ?        00:00:00 ksoftirqd/15
     74 ?        00:00:00 kworker/15:0H-events_highpri
     75 ?        00:00:00 cpuhp/1
     76 ?        00:00:00 idle_inject/1
     77 ?        00:00:00 migration/1
     78 ?        00:00:00 ksoftirqd/1
     80 ?        00:00:00 kworker/1:0H-events_highpri
     81 ?        00:00:00 cpuhp/3
     82 ?        00:00:00 idle_inject/3
     83 ?        00:00:00 migration/3
     84 ?        00:00:00 ksoftirqd/3
     86 ?        00:00:00 kworker/3:0H-events_highpri
     87 ?        00:00:00 cpuhp/5
     88 ?        00:00:00 idle_inject/5
     89 ?        00:00:00 migration/5
     90 ?        00:00:00 ksoftirqd/5
     92 ?        00:00:00 kworker/5:0H-events_highpri
     93 ?        00:00:00 cpuhp/7
     94 ?        00:00:00 idle_inject/7
     95 ?        00:00:00 migration/7
     96 ?        00:00:00 ksoftirqd/7
     98 ?        00:00:00 kworker/7:0H-events_highpri
     99 ?        00:00:00 cpuhp/9
    100 ?        00:00:00 idle_inject/9
    101 ?        00:00:00 migration/9
    102 ?        00:00:00 ksoftirqd/9
    104 ?        00:00:00 kworker/9:0H-events_highpri
    105 ?        00:00:00 cpuhp/11
    106 ?        00:00:00 idle_inject/11
    107 ?        00:00:00 migration/11
    108 ?        00:00:00 ksoftirqd/11
    110 ?        00:00:00 kworker/11:0H-events_highpri
    111 ?        00:00:00 kdevtmpfs
    112 ?        00:00:00 kworker/R-inet_frag_wq
    113 ?        00:00:00 rcu_tasks_kthread
    114 ?        00:00:00 rcu_tasks_rude_kthread
    115 ?        00:00:00 rcu_tasks_trace_kthread
    116 ?        00:00:00 kauditd
    117 ?        00:00:00 khungtaskd
    118 ?        00:00:00 oom_reaper
    121 ?        00:00:00 kworker/R-writeback
    122 ?        00:00:00 kcompactd0
    123 ?        00:00:00 ksmd
    124 ?        00:00:00 khugepaged
    125 ?        00:00:00 kworker/R-kblockd
    126 ?        00:00:00 kworker/R-blkcg_punt_bio
    127 ?        00:00:00 kworker/R-kintegrityd
    128 ?        00:00:00 irq/9-acpi
    134 ?        00:00:00 kworker/R-tpm_dev_wq
    135 ?        00:00:00 kworker/R-ata_sff
    136 ?        00:00:00 kworker/R-md
